期数,序列数,BV号,视频标题,作者,播放量,点赞数,弹幕数,评论数,收藏数,分享数
344,9,BV1ReW1zFEtq,黑熊精新歌《差一点》：原来最痛的不是失败，是以为自己配。,漫游会议室,7116037,243141,4085,7686,78654,51204
344,10,BV1P3WCzMEdV,谁把我从童话书里放出来了？,-欣小萌-,4077748,123900,3323,1920,35700,6484
344,11,BV1hzsbz1EpW,来武汉包路亚塘，帮重伤的年轻塘主凑手术费,李维刚的日常,2394923,429692,12608,8951,37765,4207
344,12,BV1WUWrzNEQe,当爷爷喝了我的冰美式....,司墨尧smile,7808064,328384,6252,2618,155876,16707
344,13,BV13P4iz6Ehk,“渡人，渡己”,不知名鸽子-,5913749,437485,1239,2265,280209,16554
344,14,BV1CKWEzvEf6,为了找到一颗价值百万的陨石，最后我把自己变成了流星！,南翔不爱吃饭,5460581,137325,3036,1725,70136,1593
344,15,BV1SZsqzvEpZ,正片来了，练胆成果！,关恒-蹦山咔拉咔,10370231,543247,6259,17934,96840,52850
344,16,BV1DrW1zsEzs,《原神》角色预告-「奈芙尔：游蛇衔影」,原神,2199362,195560,16785,16225,37111,16231
344,17,BV1W2WEzTEeA,全球唯一！我把V8发动机塞进桑塔纳！,Upspeed盛嘉成,1352406,66738,9314,1268,14594,4498
344,18,BV1ioWtzHEoe,全网最离谱的国际象棋【0-50天合集】,喝彩城堡CastleBravo,2400335,388309,9488,7053,134505,78264
344,19,BV1f6WJzFEAF,《鸣潮》黎那汐塔篇纪念动画 | Beautiful Tomorrow,鸣潮,1765041,148821,19495,12242,48665,15634
344,20,BV131WmzhEF9,末日人机世界纪录：6分25秒！打破系统限制！缺一不可的完美配合！,布锅锅,2385715,114500,8096,7879,19074,16850
344,21,BV1NeWWzDEYP,我不会把她丢在电影院，或航天基地！,某科学的草丛,7228488,665805,77910,17787,138790,41688
344,22,BV1Bv4iz7E7i,王老菊教你勇敢鸭鸭,怕上火暴王老菊,1326465,38858,6895,2882,10476,4379
344,23,BV1TSWmzZEQf,家园！种菜！！同行测试首爆pv【洛克王国世界】,洛克王国世界,3254594,116488,2061,11433,12863,23266
344,24,BV1D9W9zEECk,南方人写网文 VS 北方人写网文,进击的金厂长,6317013,152448,1460,3175,61438,1036
344,25,BV1FnsbzfEWs,AI续写：《你的名字》后续剧情（一）,龙林yys,4904708,488341,2077,12355,150098,74937
344,26,BV1qJsizkEp1,【毕导】看完这个视频，你会释怀这停滞不前的人生,毕导,5873995,310752,56530,4422,100709,15052
344,27,BV1o94yzMEFN,看完这5个神级隐藏细节，才发现人民币设计有多牛？！！,小透明明TM,6542005,228206,8528,5112,131538,9308
344,28,BV1PwWzzZEgc,是谁创造了教科书级别的演唱会？丨我的华语演唱会排行榜丨HOPICO,HOPICO,804979,37447,8790,4926,13102,4947
344,29,BV1AdWezjE5L,从极限生存到末日幻想，如果只剩最后10天，你会如何度过？【多新鲜呐ep07 | 于谦的视频播客】,于谦,2660170,68745,4037,1809,23534,2862
344,30,BV1ecWBzzEe6,歌手模仿赛！竟然引来了本尊？！！,Jason-老湿,1956316,82492,12998,1690,8749,1637
